path_length,strategy,n_links,depth,peak_concurrency,fidelity,delivered_fidelity,hold_time,fid_loss
4,optimal,4,2,2,0.35339557079258643,0.2499122939522238,2.0,0.10348327684036263
4,linear,4,3,1,0.3814744183993129,0.23203867616661406,3.0,0.14943574223269884
4,balanced,4,2,2,0.3814744183993129,0.26976893562204957,2.0,0.11170548277726333
4,optimal,4,2,2,0.3814744183993129,0.26976893562204957,2.0,0.11170548277726333
4,linear,4,3,1,0.46636560290625856,0.2836752659905437,3.0,0.18269033691571485
4,balanced,4,2,2,0.46636560290625856,0.32980180646101065,2.0,0.1365637964452479
4,optimal,4,2,2,0.46636560290625856,0.32980180646101065,2.0,0.1365637964452479
4,linear,4,3,1,0.48553633157440135,0.2953362065064785,3.0,0.19020012506792283
4,balanced,4,2,2,0.48553633157440135,0.34335885463636295,2.0,0.1421774769380384
4,optimal,4,2,2,0.48553633157440135,0.34335885463636295,2.0,0.1421774769380384
4,linear,4,3,1,0.3771025270785463,0.22937939463819162,3.0,0.14772313244035468
4,balanced,4,2,2,0.3771025270785463,0.26667724608436755,2.0,0.11042528099417875
4,optimal,4,2,2,0.3771025270785463,0.26667724608436755,2.0,0.11042528099417875
4,linear,4,3,1,0.42823846721045106,0.26048374995127066,3.0,0.1677547172591804
4,balanced,4,2,2,0.42823846721045106,0.3028392728837028,2.0,0.12539919432674823
4,optimal,4,2,2,0.42823846721045106,0.3028392728837028,2.0,0.12539919432674823
4,linear,4,3,1,0.4719327959266809,0.28706161127640406,3.0,0.18487118465027685
4,balanced,4,2,2,0.4719327959266809,0.3337387827380142,2.0,0.1381940131886667
4,optimal,4,2,2,0.4719327959266809,0.3337387827380142,2.0,0.1381940131886667
4,linear,4,3,1,0.36328153368131033,0.22097252682079271,3.0,0.14230900686051762
4,balanced,4,2,2,0.36328153368131033,0.2569033936366553,2.0,0.10637814004465501
4,optimal,4,2,2,0.36328153368131033,0.2569033936366553,2.0,0.10637814004465501
4,linear,4,3,1,0.4493513984608797,0.27332607012021604,3.0,0.17602532834066364
4,balanced,4,2,2,0.4493513984608796,0.3177697969675686,2.0,0.13158160149331105
4,optimal,4,2,2,0.4493513984608796,0.3177697969675686,2.0,0.13158160149331105
4,linear,4,3,1,0.6058825177939007,0.368538938813531,3.0,0.23734357898036967
4,balanced,4,2,2,0.6058825177939006,0.4284645943576133,2.0,0.17741792343628726
4,optimal,4,2,2,0.6058825177939006,0.4284645943576133,2.0,0.17741792343628726
4,linear,4,3,1,0.389996624082559,0.2372224610533114,3.0,0.15277416302924757
4,balanced,4,2,2,0.389996624082559,0.27579562114913764,2.0,0.11420100293342134
4,optimal,4,2,2,0.389996624082559,0.27579562114913764,2.0,0.11420100293342134
4,linear,4,3,1,0.395147848360229,0.24035578586980458,3.0,0.1547920624904244
4,balanced,4,2,2,0.395147848360229,0.27943843498805376,2.0,0.11570941337217522
4,optimal,4,2,2,0.395147848360229,0.27943843498805376,2.0,0.11570941337217522
4,linear,4,3,1,0.3748875328021852,0.22803208453084528,3.0,0.1468554482713399
4,balanced,4,2,2,0.3748875328021851,0.2651108588785093,2.0,0.1097766739236758
4,optimal,4,2,2,0.3748875328021851,0.2651108588785093,2.0,0.1097766739236758
5,linear,5,4,1,0.3555155480786526,0.1889373838716,4.0,0.1665781642070526
5,balanced,5,3,2,0.35551554807865265,0.21624872639944073,3.0,0.13926682167921192
5,optimal,5,3,2,0.3555155480786526,0.2162487263994407,3.0,0.1392668216792119
5,linear,5,4,1,0.36591162463344085,0.19446233915810132,4.0,0.17144928547533952
5,balanced,5,3,2,0.36591162463344085,0.22257232694707885,3.0,0.143339297686362
5,optimal,5,3,2,0.3659116246334409,0.22257232694707887,3.0,0.14333929768636203
5,linear,5,4,1,0.35613514034725896,0.18926666382273075,4.0,0.16686847652452821
5,balanced,5,3,2,0.35613514034725896,0.21662560454076865,3.0,0.1395095358064903
5,optimal,5,3,2,0.356135140347259,0.21662560454076868,3.0,0.13950953580649034
5,linear,5,4,1,0.325178140804368,0.17281468433053102,4.0,0.152363456473837
5,balanced,5,3,2,0.325178140804368,0.19779545277813126,3.0,0.12738268802623676
5,optimal,5,3,2,0.325178140804368,0.19779545277813126,3.0,0.12738268802623676
5,linear,5,4,1,0.41281863907622396,0.21939089331541797,4.0,0.19342774576080599
5,balanced,5,3,2,0.412818639076224,0.2511043621485545,3.0,0.1617142769276695
5,optimal,5,3,2,0.412818639076224,0.2511043621485545,3.0,0.1617142769276695
5,linear,5,4,1,0.4053881320933944,0.21544197868211232,4.0,0.1899461534112821
5,balanced,5,3,2,0.40538813209339447,0.24658462263161066,3.0,0.15880350946178381
5,optimal,5,3,2,0.40538813209339447,0.24658462263161066,3.0,0.15880350946178381
5,linear,5,4,1,0.3435631733356962,0.18258533984091932,4.0,0.16097783349477687
5,balanced,5,3,2,0.34356317333569614,0.20897847948736653,3.0,0.1345846938483296
5,optimal,5,3,2,0.3435631733356962,0.2089784794873666,3.0,0.1345846938483296
5,linear,5,4,1,0.40883486766727567,0.21727373317427373,4.0,0.19156113449300194
5,balanced,5,3,2,0.40883486766727567,0.2486811615371962,3.0,0.16015370613007948
5,optimal,5,3,2,0.4088348676672758,0.24868116153719624,3.0,0.16015370613007954
5,linear,5,4,1,0.4635483971969023,0.24635103003956352,4.0,0.21719736715733876
5,balanced,5,3,2,0.4635483971969021,0.2819616499477405,3.0,0.18158674724916163
5,optimal,5,3,2,0.46354839719690216,0.28196164994774053,3.0,0.18158674724916163
5,linear,5,4,1,0.49909437118655536,0.2652418025221419,4.0,0.23385256866441345
5,balanced,5,3,2,0.4990943711865555,0.30358312795463094,3.0,0.19551124323192454
5,optimal,5,3,2,0.4990943711865554,0.3035831279546309,3.0,0.19551124323192454
5,linear,5,4,1,0.39118899482871816,0.2078959012671573,4.0,0.18329309356156087
5,balanced,5,3,2,0.3911889948287182,0.23794774200556906,3.0,0.15324125282314915
5,optimal,5,3,2,0.3911889948287183,0.2379477420055691,3.0,0.15324125282314918
5,linear,5,4,1,0.3805804092626124,0.20225800887603573,4.0,0.17832240038657665
5,balanced,5,3,2,0.3805804092626124,0.2314948790296231,3.0,0.1490855302329893
5,optimal,5,3,2,0.38058040926261233,0.23149487902962304,3.0,0.1490855302329893
5,linear,5,4,1,0.3093509294458679,0.16440337313972955,4.0,0.14494755630613834
5,balanced,5,3,2,0.30935092944586795,0.18816826680208162,3.0,0.12118266264378633
5,optimal,5,3,2,0.30935092944586795,0.18816826680208162,3.0,0.12118266264378633
5,linear,5,4,1,0.4288876961981793,0.22793073251601986,4.0,0.20095696368215943
5,balanced,5,3,2,0.4288876961981793,0.26087865516004866,3.0,0.16800904103813064
5,optimal,5,3,2,0.4288876961981792,0.2608786551600486,3.0,0.16800904103813058
5,linear,5,4,1,0.46530696566990065,0.2472856145561706,4.0,0.21802135111373006
5,balanced,5,3,2,0.4653069656699006,0.28303133085094534,3.0,0.18227563481895526
5,optimal,5,3,2,0.46530696566990054,0.2830313308509453,3.0,0.18227563481895526
5,linear,5,4,1,0.32725649138643564,0.17391921583095643,4.0,0.1533372755554792
5,balanced,5,3,2,0.32725649138643564,0.19905964690075859,3.0,0.12819684448567706
5,optimal,5,3,2,0.32725649138643564,0.19905964690075859,3.0,0.12819684448567706
5,linear,5,4,1,0.3767545869058512,0.20022479015705014,4.0,0.17652979674880104
5,balanced,5,3,2,0.3767545869058512,0.22916775377011944,3.0,0.14758683313573173
5,optimal,5,3,2,0.3767545869058512,0.22916775377011944,3.0,0.14758683313573173
5,linear,5,4,1,0.3582288262656629,0.19037934522923994,4.0,0.16784948103642294
5,balanced,5,3,2,0.3582288262656629,0.2178991266575429,3.0,0.14032969960811997
5,optimal,5,3,2,0.35822882626566294,0.21789912665754294,3.0,0.14032969960812
5,linear,5,4,1,0.4243267726605784,0.22550684707446927,4.0,0.19881992558610911
5,balanced,5,3,2,0.42432677266057833,0.258104391385815,3.0,0.16622238127476335
5,optimal,5,3,2,0.42432677266057833,0.258104391385815,3.0,0.16622238127476335
5,linear,5,4,1,0.3454714821626334,0.18359950329826785,4.0,0.16187197886436555
