frontier_index,throughput,fidelity,latency,memory
197,3,0.8238851836267719,50.0,20.0
198,3,0.8457813982581586,80.0,32.0
199,3,0.8007642276422763,35.0,14.0
200,3,0.8238851836267719,50.0,20.0
201,3,0.8457813982581586,80.0,32.0
202,2,0.8987748473553341,30.0,12.0
203,3,0.8105165649035561,45.0,18.0
204,3,0.8336375208880514,60.0,24.0
205,3,0.8555337355194381,90.0,36.0
206,3,0.8105165649035561,45.0,18.0
207,3,0.8336375208880514,60.0,24.0
208,3,0.8555337355194381,90.0,36.0
209,3,0.8105165649035561,45.0,18.0
210,3,0.8336375208880514,60.0,24.0
211,3,0.8555337355194381,90.0,36.0
212,3,0.7893821138211381,30.0,12.0
213,4,0.7505365853658535,45.0,18.0
214,4,0.7678773023542251,60.0,24.0
215,4,0.7842994633277651,90.0,36.0
216,4,0.7505365853658535,45.0,18.0
217,4,0.7678773023542251,60.0,24.0
218,4,0.7842994633277651,90.0,36.0
219,4,0.7505365853658535,45.0,18.0
220,4,0.7678773023542251,60.0,24.0
221,4,0.7842994633277651,90.0,36.0
222,3,0.8007642276422763,35.0,14.0
223,4,0.7590731707317072,50.0,20.0
224,4,0.7764138877200788,65.0,26.0
225,4,0.7928360486936188,95.0,38.0
226,4,0.7590731707317072,50.0,20.0
227,4,0.7764138877200788,65.0,26.0
228,4,0.7928360486936188,95.0,38.0
229,4,0.7590731707317072,50.0,20.0
230,4,0.7764138877200788,65.0,26.0
231,4,0.7928360486936188,95.0,38.0
232,3,0.8105165649035561,45.0,18.0
233,4,0.766387423677667,60.0,24.0
234,4,0.7837281406660386,75.0,30.0
235,4,0.8001503016395786,105.0,42.0
236,4,0.766387423677667,60.0,24.0
237,4,0.7837281406660386,75.0,30.0
238,4,0.8001503016395786,105.0,42.0
239,4,0.766387423677667,60.0,24.0
240,4,0.7837281406660386,75.0,30.0
241,4,0.8001503016395786,105.0,42.0
242,3,0.8125030698056337,45.0,18.0
243,4,0.7678773023542252,60.0,24.0
244,4,0.7852180193425968,75.0,30.0
245,4,0.8016401803161368,105.0,42.0
246,4,0.7678773023542252,60.0,24.0
247,4,0.7852180193425968,75.0,30.0
248,4,0.8016401803161368,105.0,42.0
249,4,0.7678773023542252,60.0,24.0
250,4,0.7852180193425968,75.0,30.0
251,4,0.8016401803161368,105.0,42.0
252,3,0.8238851836267719,50.0,20.0
253,4,0.7764138877200789,65.0,26.0
254,4,0.7937546047084505,80.0,32.0
255,4,0.8101767656819905,110.0,44.0
256,4,0.7764138877200789,65.0,26.0
257,4,0.7937546047084505,80.0,32.0
258,4,0.8101767656819905,110.0,44.0
259,4,0.7764138877200789,65.0,26.0
260,4,0.7937546047084505,80.0,32.0
261,4,0.8101767656819905,110.0,44.0
262,3,0.8336375208880517,60.0,24.0
263,4,0.7837281406660387,75.0,30.0
264,4,0.8010688576544103,90.0,36.0
265,4,0.8174910186279503,120.0,48.0
266,4,0.7837281406660387,75.0,30.0
267,4,0.8010688576544103,90.0,36.0
268,4,0.8174910186279503,120.0,48.0
269,4,0.7837281406660387,75.0,30.0
270,4,0.8010688576544103,90.0,36.0
271,4,0.8174910186279503,120.0,48.0
272,3,0.8343992844370204,75.0,30.0
273,4,0.7842994633277652,90.0,36.0
274,4,0.8016401803161368,105.0,42.0
275,4,0.8180623412896768,135.0,54.0
276,4,0.7842994633277652,90.0,36.0
277,4,0.8016401803161368,105.0,42.0
278,4,0.8180623412896768,135.0,54.0
279,4,0.7842994633277652,90.0,36.0
280,4,0.8016401803161368,105.0,42.0
281,4,0.8180623412896768,135.0,54.0
282,3,0.8457813982581586,80.0,32.0
283,4,0.7928360486936189,95.0,38.0
284,4,0.8101767656819905,110.0,44.0
285,4,0.8265989266555305,140.0,56.0
286,4,0.7928360486936189,95.0,38.0
287,4,0.8101767656819905,110.0,44.0
288,4,0.8265989266555305,140.0,56.0
289,4,0.7928360486936189,95.0,38.0
290,4,0.8101767656819905,110.0,44.0
291,4,0.8265989266555305,140.0,56.0
292,3,0.7893821138211381,30.0,12.0
293,4,0.7505365853658535,45.0,18.0
294,4,0.7678773023542251,60.0,24.0
295,4,0.7842994633277651,90.0,36.0
296,4,0.7505365853658535,45.0,18.0
297,4,0.7678773023542251,60.0,24.0
298,4,0.7842994633277651,90.0,36.0
299,4,0.7505365853658535,45.0,18.0
300,4,0.7678773023542251,60.0,24.0
301,4,0.7842994633277651,90.0,36.0
302,3,0.8007642276422763,35.0,14.0
303,4,0.7590731707317072,50.0,20.0
