n_requests,sigma,policy,eps,n_variables,n_bundles_in,n_selected,param_utility,e_utility,reliability_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,exact_time_s,gap_vs_exact
10,0.03,chance,0.5,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.029585798816568046,0.6846282953384264,0.0019943369989050552,nan
10,0.03,chance,0.65,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.029585798816568046,0.6846282953384264,0.002718444999118219,nan
10,0.03,chance,0.8,18,18,5,161.79065172356323,275.622309764783,-113.83165804121975,0.915,0.18032786885245902,0.6526161926730991,0.0020227229997544782,nan
10,0.03,nominal,1.0,30,30,6,199.31327912288336,386.7734973665636,-187.46021824368026,0.8916666666666667,0.45794392523364486,0.5984740296485768,0.0027647390015772544,nan
10,0.03,chance_qubo,0.2,17,17,4,86.3484212797669,172.44243557277673,-86.09401429300983,0.73125,0.042735042735042736,0.7028416020495948,0.0022582059991691494,0.35017525572141217
10,0.03,hard,0.0,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.08849557522123894,0.654656864750213,0.0025233930009562755,nan
10,0.03,chance,0.05,20,20,4,72.57600570987086,137.6054820841957,-65.02947637432484,0.80625,0.0,0.6853439019450844,0.002025603000220144,nan
10,0.03,chance,0.1,23,23,6,121.6528946065438,232.89761305038888,-111.2447184438451,0.8833333333333333,0.0330188679245283,0.6779257018587914,0.0022568650001630886,nan
10,0.03,chance,0.2,24,24,6,123.78208456669358,242.47277850673885,-118.69069394004528,0.8833333333333333,0.0330188679245283,0.6779257018587914,0.0026095590001204982,nan
10,0.03,chance,0.35,25,25,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.08849557522123894,0.654656864750213,0.001892539999971632,nan
10,0.03,chance,0.5,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.08849557522123894,0.654656864750213,0.001987577999898349,nan
10,0.03,chance,0.65,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.08849557522123894,0.654656864750213,0.0026210490013909293,nan
10,0.03,chance,0.8,26,26,6,137.1646120667103,254.6534664799223,-117.48885441321198,0.9416666666666667,0.08849557522123894,0.654656864750213,0.0019355650001671165,nan
10,0.03,nominal,1.0,30,30,7,176.1729523778196,307.0134134285286,-130.84046105070902,0.9214285714285714,0.24031007751937986,0.6643858803731163,0.0035163510001439136,nan
10,0.03,chance_qubo,0.2,24,24,1,-0.9670013582497534,-18.35539628185303,17.388394923603276,0.25,0.0,0.7576929939842114,0.0017229370005225064,1.0078121269457918
10,0.05,hard,0.0,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.044642857142857144,0.8095615747341967,0.002245593999759876,nan
10,0.05,chance,0.05,24,24,8,358.74995693812275,462.01650578441985,-103.26654884629704,0.959375,0.003257328990228013,0.8290513141546367,0.001339596999969217,nan
10,0.05,chance,0.1,24,24,8,358.74995693812275,462.01650578441985,-103.26654884629704,0.959375,0.003257328990228013,0.8290513141546367,0.0013280180010042386,nan
10,0.05,chance,0.2,25,25,9,364.70867166740493,501.7513422072696,-137.04267053986462,0.9,0.018518518518518517,0.8169267718693929,0.0017526619994896464,nan
10,0.05,chance,0.35,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.044642857142857144,0.8095615747341967,0.0013221200006228173,nan
