topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_tighter,D_tighter
chain8_c4,n16,26,16,28,91.56415309676828,91.56415309676828,91.56415309676828,91.56415309676828,91.56415309676828,91.56415309676828,1.0,1.0,False,False
chain8_c4,n24,26,24,46,90.3102208227641,90.3102208227641,90.3102208227641,90.3102208227641,90.3102208227641,90.3102208227641,1.0,1.0,False,False
chain8_c4,n8,27,8,17,89.09691654051741,89.09691654051741,89.09691654051741,89.09691654051741,89.09691654051741,89.09691654051741,1.0,1.0,False,False
chain8_c4,n16,27,16,38,107.19561585906057,107.19561585906057,107.19561585906057,107.19561585906057,107.19561585906057,107.19561585906057,1.0,1.0,False,False
chain8_c4,n24,27,24,46,96.54953733340598,96.54953733340598,96.54953733340598,96.54953733340598,96.54953733340598,96.54953733340598,1.0,1.0,False,False
chain8_c4,n8,28,8,15,106.2397933456074,106.2397933456074,106.2397933456074,106.2397933456074,106.2397933456074,106.2397933456074,1.0,1.0,False,False
chain8_c4,n16,28,16,25,73.7809409389207,73.7809409389207,73.7809409389207,73.7809409389207,73.7809409389207,73.7809409389207,1.0,1.0,False,False
chain8_c4,n24,28,24,54,118.91357199461378,118.91357199461378,118.91357199461378,118.91357199461378,118.91357199461378,118.91357199461378,1.0,1.0,False,False
chain8_c4,n8,29,8,17,91.18149752442304,91.18149752442304,91.18149752442304,91.18149752442304,91.18149752442304,91.18149752442304,1.0,1.0,False,False
chain8_c4,n16,29,16,23,107.34819696208965,107.34819696208965,107.34819696208965,107.34819696208965,107.34819696208965,107.34819696208965,1.0,1.0,False,False
chain8_c4,n24,29,24,40,44.730127140180116,44.730127140180116,44.730127140180116,44.730127140180116,44.730127140180116,44.730127140180116,1.0,1.0,False,False
chain8_c4,n8,30,8,20,77.75268166259335,77.75268166259335,77.75268166259335,77.75268166259335,77.75268166259335,77.75268166259335,1.0,1.0,False,False
chain8_c4,n16,30,16,31,92.32562850007835,92.32562850007835,92.32562850007835,92.32562850007835,92.32562850007835,92.32562850007835,1.0,1.0,False,False
chain8_c4,n24,30,24,59,122.17240267055534,122.17240267055534,122.17240267055534,122.17240267055534,122.17240267055534,122.17240267055534,1.0,1.0,False,False
chain8_c4,n8,31,8,20,125.11126357627853,125.11126357627853,125.11126357627853,125.11126357627853,125.11126357627853,125.11126357627853,1.0,1.0,False,False
chain8_c4,n16,31,16,26,89.08643440909255,89.08643440909255,89.08643440909255,89.08643440909255,89.08643440909255,89.08643440909255,1.0,1.0,False,False
chain8_c4,n24,31,24,42,95.57703743757989,95.57703743757989,95.57703743757989,95.57703743757989,95.57703743757989,95.57703743757989,1.0,1.0,False,False
chain8_c4,n8,32,8,13,50.20853901548835,50.20853901548835,50.20853901548835,50.20853901548835,50.20853901548835,50.20853901548835,1.0,1.0,False,False
chain8_c4,n16,32,16,24,76.69814999211938,76.69814999211938,76.69814999211938,76.69814999211938,76.69814999211938,76.69814999211938,1.0,1.0,False,False
chain8_c4,n24,32,24,53,101.94468513566835,101.94468513566835,101.94468513566835,101.94468513566835,101.94468513566835,101.94468513566835,1.0,1.0,False,False
chain8_c4,n8,33,8,16,87.64657166779266,87.64657166779266,87.64657166779266,87.64657166779266,87.64657166779266,87.64657166779266,1.0,1.0,False,False
chain8_c4,n16,33,16,38,110.98368060337418,110.98368060337418,110.98368060337418,110.98368060337418,110.98368060337418,110.98368060337418,1.0,1.0,False,False
chain8_c4,n24,33,24,45,97.89180867029107,97.89180867029107,97.89180867029107,97.89180867029107,97.89180867029107,97.89180867029107,1.0,1.0,False,False
chain8_c4,n8,34,8,12,46.4707563003113,46.4707563003113,46.4707563003113,46.4707563003113,46.4707563003113,46.4707563003113,1.0,1.0,False,False
chain8_c4,n16,34,16,34,109.52976601179354,109.52976601179354,109.52976601179354,109.52976601179354,109.52976601179354,109.52976601179354,1.0,1.0,False,False
chain8_c4,n24,34,24,51,109.71206767743595,109.71206767743595,109.71206767743595,109.71206767743595,109.71206767743595,109.71206767743595,1.0,1.0,False,False
chain8_c4,n8,35,8,15,60.12601638599839,60.12601638599839,60.12601638599839,60.12601638599839,60.12601638599839,60.12601638599839,1.0,1.0,False,False
chain8_c4,n16,35,16,33,93.49321115211555,93.49321115211555,93.49321115211555,93.49321115211555,93.49321115211555,93.49321115211555,1.0,1.0,False,False
chain8_c4,n24,35,24,39,100.42109620052581,100.42109620052581,100.42109620052581,100.42109620052581,100.42109620052581,100.42109620052581,1.0,1.0,False,False
chain8_c4,n8,36,8,14,95.34735240953762,95.34735240953762,95.34735240953762,95.34735240953762,95.34735240953762,95.34735240953762,1.0,1.0,False,False
chain8_c4,n16,36,16,28,90.79293284930706,90.79293284930706,90.79293284930706,90.79293284930706,90.79293284930706,90.79293284930706,1.0,1.0,False,False
chain8_c4,n24,36,24,47,83.68249164674046,83.68249164674046,83.68249164674046,83.68249164674046,83.68249164674046,83.68249164674046,1.0,1.0,False,False
chain8_c4,n8,37,8,11,60.734015872010566,60.734015872010566,60.734015872010566,60.734015872010566,60.734015872010566,60.734015872010566,1.0,1.0,False,False
chain8_c4,n16,37,16,33,95.34677509946735,95.34677509946735,95.34677509946735,95.34677509946735,95.34677509946735,95.34677509946735,1.0,1.0,False,False
chain8_c4,n24,37,24,41,99.61663564147396,99.61663564147396,99.61663564147396,99.61663564147396,99.61663564147396,99.61663564147396,1.0,1.0,False,False
chain8_c4,n8,38,8,18,86.42798695266983,86.42798695266983,86.42798695266983,86.42798695266983,86.42798695266983,86.42798695266983,1.0,1.0,False,False
chain8_c4,n16,38,16,31,97.47439084702037,97.47439084702037,97.47439084702037,97.47439084702037,97.47439084702037,97.47439084702037,1.0,1.0,False,False
chain8_c4,n24,38,24,40,104.11189435464868,104.11189435464868,104.11189435464868,104.11189435464868,104.11189435464868,104.11189435464868,1.0,1.0,False,False
chain8_c4,n8,39,8,18,66.51110172628738,66.51110172628738,66.51110172628738,66.51110172628738,54.72543828483283,66.51110172628738,0.8228015604078249,1.0,True,False
chain8_c4,n16,39,16,33,113.71153922731669,113.71153922731669,113.71153922731669,113.71153922731669,113.71153922731669,113.71153922731669,1.0,1.0,False,False
chain8_c4,n24,39,24,43,111.78709706809897,111.78709706809897,111.78709706809897,111.78709706809897,111.78709706809897,111.78709706809897,1.0,1.0,False,False
