topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,C,D,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,n8,12,404,8,14,67,sa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,0.11658304103184491,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,124.99459029432549,False,nan,40.44145302449802
chain8_c4,n8,12,505,8,14,67,sa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,0.10937408299650997,100,0.0,1.0,1.0,0.0,2.0,1.0,nan,152.72178572189677,False,nan,27.22974948210161
chain8_c4,n8,12,101,8,14,67,sqa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,9.525637416983955,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,198.75688759502083,False,nan,5.294529957989525
chain8_c4,n8,12,202,8,14,67,sqa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,13.082470834022388,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,142.89708638058198,False,nan,31.91111061830787
chain8_c4,n8,12,303,8,14,67,sqa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,13.030082499957643,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,185.95076674946733,False,nan,11.396505636759992
chain8_c4,n8,12,404,8,14,67,sqa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,8.825466041918844,100,1.0,0.0,0.0,0.0,0.0,0.0,96.01379543066753,96.01379543066753,True,54.25048290499292,54.25048290499292
chain8_c4,n8,12,505,8,14,67,sqa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,11.993734083953314,100,1.0,0.0,0.0,0.0,0.0,0.0,163.83333287183214,163.83333287183217,True,21.935219524112096,21.935219524112078
chain8_c4,n8,13,101,8,21,74,sa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,0.13780808402225375,100,1.0,0.0,0.0,0.0,0.0,0.0,61.36710764711683,61.36710764711683,True,82.6857804192292,82.6857804192292
chain8_c4,n8,13,202,8,21,74,sa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,0.11701625003479421,100,1.0,0.0,0.0,0.0,0.0,0.0,26.50907392529041,26.50907392529041,True,92.52068503106437,92.52068503106437
chain8_c4,n8,13,303,8,21,74,sa,conventional,1.0,92.3039785027982,92.3039785027982,0.0,92.3039785027982,0.0,0.8835282354908238,1.0,True,False,354.4318434962627,True,OPTIMAL,0.011263708001933992,0.10540012503042817,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,117.62475617962977,False,nan,66.8131522779301
